0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:56 +0530] "GET /pms-web/login/images/circle.png HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:56 +0530] "GET /pms-web/login/images/comment.png HTTP/1.1" 200 327754
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:57 +0530] "GET /pms-web/login/images/circle.png HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:57 +0530] "GET /pms-web/login/images/comment.png HTTP/1.1" 200 327754
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:57 +0530] "GET /pms-web/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:57 +0530] "GET /pms-web/login/images/my-form.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:57 +0530] "GET /pms-web/login/images/introduction-color.png HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:57 +0530] "GET /pms-web/login/images/edit.png HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:57 +0530] "GET /pms-web/login/images/circle-color.png HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/toaster/toastr.min.css HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/jquery/jqueryUI/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/jquery/loading/showLoading.css HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/bootstrap-datepicker/datepicker.css HTTP/1.1" 200 33679
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/summernote/summernote.css HTTP/1.1" 200 10690
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/select2/css/select2.css HTTP/1.1" 200 17679
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/jquery/dataTable/jquery.dataTables.css HTTP/1.1" 200 13899
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/jquery/multiselect/bootstrap-multiselect.css HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/summernote/summernote-bs3.css HTTP/1.1" 200 146441
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146110
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /toastr.js.map HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/jquery/multiselect/popper.js.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:17:53 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:25 +0530] "GET /pms-web/login/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:25 +0530] "GET /pms-web/login/logout HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:25 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:25 +0530] "GET /pms-web/common/third-i-logo-color.png HTTP/1.1" 200 14889
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:25 +0530] "GET /pms-web/lib/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:25 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:25 +0530] "GET /pms-web/lib/jquery/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:26 +0530] "GET /pms-web/common/favicon.png HTTP/1.1" 200 42171
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:34:50 +0530] "POST /pms-web/j_spring_security_check HTTP/1.1" 302 -
